surname,name,team,pos,#
Abdul,Jindřich,VIT,Ú,24.0
Adámek,Marian,TRI,O,55.0
Ahac,Layton Ford,LIB,O,2.0
Anděl,Lukáš,OLO,Ú,24.0
Aubrecht,David,LIB,O,6.0
Audette,Daniel,KLA,Ú,28.0
Auvitu,Yohann,VIT,O,81.0
Baláž,Ondřej,LIT,O,13.0
Bambula,Jan,KVA,Ú,86.0
Bambula,Jan,VIT,,72.0
Bareš,Adam,KLA,Ú,10.0
Barinka,Marcel,KLA,Ú,91.0
Bartejs,Tomáš,KOM,O,
Bartovič,Adrien,LIB,,72.0
Baránek,Marek,LIB,O,91.0
Baránek,Marek,LIT,,4.0
Batna,Oskars,MHK,Ú,95.0
Bednařík,Jonáš,LIT,Ú,
Beran,Vít,LIT,O,36.0
Berglund,Carl,MBL,Ú,29.0
Berka,Marek,LIT,Ú,
Bernad,David,MBL,O,71.0
Bernovský,Jan,VIT,Ú,20.0
Beroun,Tadeáš,KOM,O,11.0
Beránek,Martin,CEB,Ú,56.0
Beránek,Ondřej,KVA,Ú,8.0
Blain,Jeremie,KLA,O,55.0
Bláha,Ondřej,KLA,Ú,9.0
Bláha,Ondřej,SPA,,
Boltvan,Adam,KOM,Ú,7.0
Brož,Jaroslav,LIT,Ú,5.0
Brízgala,Adam,KLA,,1.0
Brůna,Patrik,VIT,O,5.0
Buchtele,Jan,MBL,Ú,47.0
Budík,Vojtěch,VIT,O,73.0
Bulíř,Michal,CEB,Ú,88.0
Bunnaman,Connor Dave,MHK,Ú,74.0
Byrtus,Dominick Radim,TRI,O,16.0
Chabada,Ondřej,PCE,O,
Chlapík,Filip,SPA,Ú,14.0
Chlubna,Tomáš,CEB,Ú,10.0
Chludil,Danny,KOM,Ú,86.0
Chvátal,Marek,OLO,O,59.0
Cibulka,Tomáš,CEB,O,65.0
Cichoň,Oldřich,OLO,,29.0
Cienciala,David,TRI,Ú,81.0
Cingel,Lukáš,KOM,Ú,6.0
Cosgrove,Trevor,OLO,O,61.0
Czuczman,Kevin,LIT,O,27.0
Cícha,Matyáš,CEB,O,
Dansk,Oscar,KLA,,35.0
Daňo,Marko,TRI,Ú,56.0
Dello,Tory,KVA,O,3.0
Demel,Patrik,VIT,O,7.0
Dlapa,Ondřej,MHK,O,72.0
Doktor,Jakub,OLO,Ú,89.0
Dolejš,Daniel,TRI,,37.0
Dorot,Ondřej,KVA,O,77.0
Doudera,Milan,CEB,O,52.0
Dočekal,Martin,VIT,Ú,43.0
Dravecký,Vladimír,TRI,Ú,22.0
Dvořák,Tomáš,PCE,O,7.0
Dyk,Kryštof,KVA,O,28.0
Dzierkals,Martins,SPA,Ú,16.0
Eberle,Jan,SPA,Ú,20.0
Edmonds,Lucas,VIT,Ú,9.0
Egle,Haralds,KVA,Ú,10.0
Ekrt,Jan,KOM,Ú,10.0
Fasner,Šimon,VIT,Ú,22.0
Faško-Rudáš,Martin,LIB,Ú,77.0
Fejes,Samuel Hunter,PCE,Ú,18.0
Ferda,Radim,KOM,Ú,63.0
Filip,Matyáš,PLZ,Ú,42.0
Filippi,Tomáš,LIB,Ú,41.0
Flek,Jakub,KOM,Ú,9.0
Flynn,Oscar,TRI,Ú,18.0
Forman,Miroslav,KLA,Ú,88.0
Formánek,František,PCE,Ú,12.0
Fořt,Tomáš,MBL,Ú,12.0
Freibergs,Ralfs,VIT,O,29.0
Fridrich,Petr,OLO,Ú,11.0
Frodl,Dominik,KVA,,
Fronk,Jiří,VIT,Ú,
Furch,Dominik,MBL,,38.0
Furch,Michal,KOM,O,3.0
Gajdoš,František,LIT,O,13.0
Galvas,Jakub,TRI,O,76.0
Galvas,Tomáš,LIB,O,79.0
Gardoň,Matěj,MBL,Ú,88.0
Gazda,Daniel,PCE,O,43.0
Gašo,Alex,MHK,Ú,
Gewiese,Petr,MBL,O,44.0
Gricius,Jake,PLZ,Ú,
Gríger,Dávid,MBL,Ú,16.0
Gulaši,Michal,KOM,O,24.0
Gut,Michal,LIT,Ú,62.0
Hamalčík,Petr,LIB,,1.0
Hanousek,Tomáš,LIB,O,67.0
Hanzl,Martin,VIT,Ú,79.0
Harris,Brant,CEB,Ú,23.0
Hartl,Michal,KOM,Ú,57.0
Hauser,Petr,VIT,Ú,93.0
Havlín,Tomáš,MBL,O,77.0
Hašek,Petr,MHK,Ú,13.0
Herman,Tomáš,VIT,O,
Herčík,Daniel,PCE,Ú,97.0
Hladonik,Jan,VIT,Ú,67.0
Hlava,Nicolas,LIT,Ú,77.0
Hoch,Štěpán,CEB,Ú,42.0
Holešinský,Adrián,CEB,Ú,37.0
Holešinský,Adrián,PLZ,,89.0
Holland,Rhett,KOM,O,93.0
Holmström,Axel,LIT,Ú,29.0
Hora,David,MBL,,2.0
Horák,Roman,SPA,Ú,51.0
Houdek,Michal,KLA,O,8.0
Hořejší,Marek,PLZ,Ú,70.0
Hrabina,Marek,VIT,Ú,82.0
Hrabík,Kryštof,KLA,,11.0
Hrabík,Kryštof,SPA,Ú,11.0
Hrabík,Ondřej,SPA,Ú,19.0
Hrachovina,Dominik,VIT,,49.0
Hradec,Vojtěch,MBL,Ú,9.0
Hrehorčák,Patrik,TRI,Ú,19.0
Hrivík,Marek,VIT,Ú,27.0
Hrníčko,Dominik,PCE,Ú,
Hrádek,Michal,OLO,,777.0
Hrádek,Michal,PCE,O,77.0
Hudáček,Libor,TRI,Ú,79.0
Hujer,Jakub,LIB,Ú,94.0
Humeník,Matyáš,CEB,Ú,
Husinecký,Vojtěch,LIT,O,4.0
Hyka,Tomáš,SPA,Ú,38.0
Hájek,Libor,PCE,O,24.0
Hännikäinen,Markus,LIT,Ú,33.0
Ilomäki,Arttu,KOM,Ú,75.0
Indrašis,Miks,MBL,Ú,
Irving,Aaron,SPA,O,24.0
Ivan,Michal,LIB,O,29.0
Jaks,Janis,KVA,O,72.0
Jandus,Martin,KLA,O,63.0
Jank,Bohumil,CEB,,70.0
Jank,Bohumil,TRI,O,70.0
Jansa,Daniel,KLA,,2.0
Jansa,Filip,LIB,Ú,81.0
Jergl,Aleš,MHK,Ú,26.0
Jeřábek,Jakub,PLZ,O,5.0
Jiskra,Vít,KVA,Ú,23.0
Jones,Nicholas,KVA,Ú,18.0
Jurný,Jan,KOM,O,39.0
Jurčík,Ondřej,LIT,Ú,64.0
Jágr,Jaromír,KLA,Ú,68.0
Jánošík,Adam,MBL,O,3.0
Jícha,Josef,LIT,Ú,78.0
Kacetl,Ondřej,TRI,,90.0
Kachlíř,Lukáš,LIB,O,19.0
Kachyňa,Ondřej,CEB,O,98.0
Kalina,Petr,MHK,O,29.0
Kalus,Marek,VIT,Ú,11.0
Kalužík,Tadeáš,PCE,Ú,
Kaplan,Robin,PCE,Ú,
Kasal,Jan,MHK,,2.0
Kaut,Martin,PCE,Ú,61.0
Kavan,Jan,KOM,,1.0
Kaše,David,LIT,Ú,25.0
Kaše,Ondřej,LIT,Ú,73.0
Kašlík,Matej,CEB,Ú,17.0
Kelemen,Miloš,PCE,Ú,29.0
Kivistö,Tommi Petteri,MHK,O,4.0
Klepiš,Jakub,MBL,,21.0
Klepiš,Jakub,SPA,Ú,
Klimeš,Lukáš,VIT,,33.0
Klouček,Milan,CEB,,89.0
Klíma,Kelly,KLA,Ú,67.0
Klíma,Kevin,MHK,Ú,34.0
Knot,Ronald,SPA,O,7.0
Koblasa,Petr,LIT,Ú,10.0
Koblížek,Radek,MBL,Ú,81.0
Koch,Patrik,TRI,O,64.0
Koffer,Filip,KVA,Ú,19.0
Kofroň,David,TRI,Ú,76.0
Kohout,Martin,MHK,Ú,46.0
Kollár,Andrej,KOM,Ú,72.0
Kolmann,Petr,LIB,O,5.0
Koláček,Josef,CEB,Ú,22.0
Kolář,Jan,PCE,O,27.0
Komuls,Markuss,LIT,O,20.0
Kondelík,Jáchym,PCE,Ú,11.0
Konečný,Jakub,KLA,Ú,9.0
Kos,Jakub,KOM,Ú,15.0
Kousal,Pavel,SPA,Ú,23.0
Kousal,Robert,PCE,Ú,90.0
Kovařčík,Michal,TRI,Ú,87.0
Kovařčík,Ondřej,TRI,Ú,
Kovář,Jakub,SPA,,43.0
Kovář,Lukáš,MHK,O,18.0
Kočí,Matteo,KVA,O,6.0
Kořenář,Josef,SPA,,32.0
Košťálek,Jan,PCE,O,33.0
Krastenbergs,Renars,OLO,Ú,9.0
Krejčík,Jakub,SPA,O,36.0
Krenželok,Daniel,VIT,O,3.0
Krošelj,Gašper,KOM,,37.0
Král,Daniel,KVA,,31.0
Král,Filip,KOM,O,8.0
Král,Patrik,MBL,Ú,26.0
Kubiesa,Matěj,TRI,Ú,9.0
Kubík,Adam,CEB,,59.0
Kubík,Adam,LIT,,30.0
Kubík,Adam,PLZ,Ú,59.0
Kubíček,Šimon,CEB,O,98.0
Kubíček,Šimon,MBL,,4.0
Kundrátek,Tomáš,TRI,O,84.0
Kurovský,Daniel,TRI,Ú,69.0
Kusko,Silvester,OLO,Ú,91.0
Kusý,Denis,MHK,Ú,88.0
Kuťák,Filip,SPA,Ú,
Kvasnička,David,PLZ,O,65.0
Kváča,Petr,LIB,,60.0
Kňažko,Samuel,VIT,O,12.0
Křepelka,Karel,MBL,O,6.0
Lajunen,Jani,SPA,Ú,25.0
Lajunen,Ville,PLZ,O,47.0
Lakatoš,Dominik,MBL,Ú,31.0
Lalancette,Christophe,PLZ,Ú,12.0
Lantoši,Róbert,CEB,Ú,16.0
Lauko,Jakub,PCE,Ú,94.0
Leahy,Joseph Francis,VIT,O,4.0
Lednický,Vojtěch,VIT,Ú,23.0
Lenc,Radan,LIB,Ú,25.0
Lev,Jakub,CEB,Ú,29.0
Lev,Jakub,PLZ,Ú,30.0
Lichtag,Jakub,MBL,Ú,94.0
Lintuniemi,Alex,MBL,O,10.0
Lisa,Jaromír Pérez,LIB,Ú,13.0
Lisler,Oskar,KLA,Ú,24.0
Ludvig,John,PCE,O,15.0
Lukeš,Štěpán,KLA,,29.0
Lukeš,Štěpán,LIB,,56.0
Lukošik,Adam,KVA,Ú,70.0
Macek,Vít,PCE,Ú,
Machovský,Matěj,OLO,,1.0
Macias,Krzysztof,VIT,Ú,34.0
Macuh,Rok,OLO,Ú,19.0
Malák,Daniel,PLZ,O,8.0
Malát,Sebastián,KVA,Ú,82.0
Malík,Nick,PLZ,,31.0
Malínek,Vojtěch,MBL,Ú,25.0
Malý,Jakub,KOM,Ú,32.0
Mamčics,Roberts,KVA,O,55.0
Mandát,Jan,PCE,Ú,95.0
Marcel,Marcel,KLA,Ú,
Marha,Šimon,MHK,Ú,38.0
Marinčin,Martin,TRI,O,52.0
Matýs,Ondřej,OLO,Ú,81.0
Matějíček,Martin,KLA,O,5.0
Matějček,Štěpán,MHK,Ú,9.0
Mazanec,Marek,TRI,,2.0
Mazura,Tomáš,LIB,Ú,5.0
Mazura,Tomáš,MBL,,11.0
Mařík,Matyáš,CEB,,21.0
Maštalířský,Matěj,LIT,Ú,74.0
Mašín,Dominik,SPA,O,97.0
McCormack,Graeme,MHK,O,12.0
Melancon,T.J.,MHK,O,23.0
Melka,Antonín,KLA,Ú,8.0
Mendel,Griffin,KLA,O,77.0
Merezhko,Igor,PLZ,O,13.0
Michajlov,Martin,SPA,,45.0
Michálek,David,KOM,Ú,
Mikliš,Ondřej,PCE,O,4.0
Mikyska,Dalimil,KVA,O,20.0
Ministr,Daniel,OLO,Ú,7.0
Minárik,Jakub,KVA,Ú,15.0
Miškář,Patrik,MHK,Ú,
Mokry,Vojtěch,MBL,,93.0
Moravec,David,KOM,Ú,92.0
Moravec,David,KVA,O,71.0
Moravčík,Michal,LIT,O,23.0
Moses,Steve,MBL,,89.0
Moses,Steve,MHK,Ú,37.0
Mudrák,Dávid,MHK,O,89.0
Musil,Adam,LIB,Ú,14.0
Musil,David,TRI,O,6.0
Musil,Pavel,MBL,Ú,87.0
Myšák,Josef,KVA,O,24.0
Mácha,Joshua James,OLO,Ú,73.0
Měchura,Adam,PLZ,Ú,22.0
Nahodil,Lukáš,OLO,Ú,19.0
Najman,Adam,LIB,Ú,24.0
Najman,Ondřej,OLO,,10.0
Najman,Ondřej,SPA,Ú,46.0
Navrátil,Jakub,OLO,Ú,88.0
Nazad,Michael,VIT,Ú,
Nedomlel,Richard,TRI,O,75.0
Nellis,Anthony,VIT,Ú,19.0
Nenonen,Markus,MHK,Ú,7.0
Nestrašil,Andrej,TRI,Ú,94.0
Novotný,Filip,MHK,,35.0
Novák,Filip,SPA,Ú,62.0
Novák,Pavel,CEB,Ú,95.0
Němec,Adam,LIB,Ú,
Němeček,David,SPA,O,77.0
O'Donnell,Brendan Arthur,KOM,Ú,
Ojamäki,Niko,KLA,Ú,20.0
Olesen,Nick,CEB,Ú,95.0
Ondrušek,Jiří,OLO,O,23.0
Ordoš,Jan,CEB,Ú,45.0
Orsava,Jakub,OLO,Ú,32.0
Osmík,Martin,KVA,Ú,7.0
Ozols,Patriks,OLO,O,63.0
Pastor,Tobiáš,KVA,Ú,
Pavelka,Tomáš,MHK,O,19.0
Pavlák,Dominik,SPA,O,
Pavlík,Filip,MBL,O,45.0
Pavlík,Radovan,MHK,Ú,98.0
Pekař,Matěj,PCE,Ú,
Percy,Stuart Thomas,PLZ,O,29.0
Peroutka,Jan,LIT,Ú,67.0
Peroutka,Marek,LIT,Ú,
Perret,Jordann,MHK,Ú,94.0
Petman,Mikko,PLZ,Ú,63.0
Petman,Ville,PLZ,Ú,23.0
Petrovický,Rayen,OLO,O,39.0
Petrovský,Servác,LIB,Ú,83.0
Pietroniro,Phil,KLA,O,37.0
Pilař,Radek,MHK,O,62.0
Pilíšek,Vojtěch,LIB,O,27.0
Piskáček,Jan,KLA,O,75.0
Pištěk,Theodor,LIT,Ú,34.0
Plutnar,Michal,LIT,O,7.0
Pláněk,Martin,MHK,O,19.0
Plášek,Karel,OLO,Ú,62.0
Polák,Vojtěch,KLA,Ú,
Polášek,Adam,LIT,O,3.0
Port,Vojtěch,VIT,O,26.0
Pospíšil,Erik,PCE,Ú,28.0
Pospíšil,Jiří,SPA,Ú,85.0
Pospíšil,Kristián,KOM,Ú,22.0
Poulíček,Patrik,PCE,Ú,44.0
Pour,Jakub,MHK,Ú,64.0
Procházka,Martin,KLA,Ú,23.0
Procházka,Ondřej,LIB,,82.0
Procházka,Ondřej,MBL,Ú,82.0
Prčík,Matěj,VIT,O,17.0
Psohlavec,Martin,KVA,,81.0
Pyrochta,Filip,MBL,O,24.0
Pysyk,Mark,SPA,O,10.0
Pytlík,Jaromír,LIB,Ú,20.0
Pýcha,Pavel,CEB,O,12.0
Přibyl,Matěj,VIT,Ú,86.0
Přikryl,Filip,CEB,Ú,34.0
Pšenička,Ondřej,PLZ,Ú,26.0
Radil,Lukáš,MHK,Ú,69.0
Raška,Adam,SPA,Ú,74.0
Rašner,Alex,OLO,O,27.0
Redlich,Sebastián,KLA,Ú,27.0
Redlich,Tomáš,KVA,Ú,17.0
Rekonen,Aleksi,MBL,Ú,18.0
Robins,Tristen Nelson,KLA,Ú,93.0
Rohlík,Ondřej,PLZ,Ú,17.0
Rolinek,Tomáš,PCE,Ú,
Roman,Miloš,TRI,Ú,
Rubins,Kristians,PLZ,O,94.0
Rulík,Adam,KLA,O,
Rulík,Adam,KVA,O,25.0
Rutar,Adam,OLO,O,4.0
Ryšavý,Martin,KLA,Ú,19.0
Ryšavý,Martin,LIB,,9.0
Rákos,Daniel,PCE,Ú,61.0
Růžička,Jan,PLZ,,33.0
Růžička,Martin,TRI,Ú,27.0
Sandberg,Filip,LIB,Ú,43.0
Sapoušek,Robin,KVA,Ú,24.0
Schleiss,Jan,PLZ,Ú,13.0
Schmiemann,Quinn,LIT,O,44.0
Sedlák,Lukáš,PCE,Ú,23.0
Sedláček,David,KVA,Ú,
Sedláček,Ivo,PLZ,Ú,14.0
Selič,Tomáš,KOM,Ú,14.0
Seppälä,Mikael,SPA,O,5.0
Seppälä,Niko,SPA,O,80.0
Shore,Devin,SPA,Ú,94.0
Sikora,Petr,TRI,Ú,3.0
Simon,Dominik,PLZ,Ú,91.0
Sirota,Jakub,SPA,O,4.0
Skalický,Pavol,MBL,Ú,28.0
Sklenář,Dominik,MHK,Ú,93.0
Skärberg,Martin,MBL,O,33.0
Smejkal,Jiří,PCE,Ú,96.0
Sobotka,Vladimír,PCE,Ú,71.0
Stella,Evan,OLO,O,37.0
Stezka,Aleš,KOM,,30.0
Strmeň,Jan,CEB,,1.0
Strnad,Jakub,KLA,Ú,92.0
Strnad,Lukáš,PLZ,Ú,18.0
Stránský,Jan,PCE,Ú,
Stránský,Šimon,KOM,Ú,83.0
Subban,Malcolm,PCE,,32.0
Suchý,Filip,MBL,Ú,42.0
Sukeľ,Matúš,LIT,Ú,91.0
Svoboda,Denis,KOM,O,13.0
Svoboda,Přemysl,LIT,Ú,23.0
Süss,Jan,KOM,Ú,8.0
Sýkora,David,MHK,O,6.0
Tamáši,Alex,MHK,Ú,25.0
Teplý,Michal,PLZ,Ú,92.0
Toman,Matěj,CEB,Ú,20.0
Tomek,Matej,LIT,,42.0
Tomek,Petr,KVA,Ú,12.0
Tomek,Tomáš,KLA,O,13.0
Tomeček,Michal,OLO,Ú,56.0
Tomov,Nino,SPA,O,28.0
Ton,Petr,SPA,Ú,18.0
Tourigny,Miguël,PCE,O,79.0
Trojna,Josef,KLA,O,54.0
Troock,Branden Curtis,VIT,Ú,71.0
Tvrdík,Vojtěch,PCE,O,
Twarynski,Carsen Nicholas,PCE,Ú,14.0
Urban,Tomáš,PCE,Ú,25.0
Valský,Jakub,CEB,Ú,22.0
Vandas,Tomáš,KLA,O,4.0
Vesalainen,Kristian,SPA,Ú,91.0
Veselský,Adam,KOM,Ú,21.0
Vigneault,Samuel,KLA,Ú,21.0
Vishneuski,Aliaksandr,KLA,,15.0
Vitouch,David,OLO,Ú,41.0
Vitouch,David,SPA,,42.0
Vitouch,Michal,SPA,Ú,37.0
Vlach,Jaroslav,LIB,Ú,53.0
Vlasák,Adam,MBL,O,97.0
Vochvest,Vojtěch,MBL,O,8.0
Volevecký,Tomáš,SPA,,82.0
Vomáčka,Tomáš,PCE,,31.0
Vondráček,Tomáš,PCE,Ú,55.0
Vráblík,Roman,CEB,O,9.0
Vrána,Petr,TRI,Ú,20.0
Vukojevic,Michael Gabriel,MHK,O,51.0
Vyvial,Jan,MHK,Ú,
Vála,Ondřej,CEB,O,14.0
Válek,Matúš,PCE,Ú,
Váňa,Matyáš,KVA,Ú,88.0
Weatherby,Jasper,LIB,Ú,
Wesley,Josh,VIT,O,20.0
Westerholm,Niclas,MBL,,53.0
Will,Roman,PCE,,35.0
Wylie,Wyatte Andrew,KLA,O,94.0
Yetman,Chad,VIT,Ú,21.0
Yevtiekhov,Oleksii,PCE,Ú,
Zachar,Marek,LIB,Ú,69.0
Zbořil,Adam,KOM,Ú,18.0
Zbořil,Jakub,VIT,O,38.0
Zdráhal,Jan,KOM,O,
Zdráhal,Patrik,MBL,Ú,13.0
Zdráhal,Patrik,VIT,,25.0
Zeman,Denis,LIB,O,90.0
Zhukov,Maksim,OLO,,60.0
Zile,Kristaps,LIB,O,8.0
Zohorna,Hynek,KOM,Ú,20.0
Zohorna,Tomáš,KOM,Ú,80.0
Zubíček,Jakub,KOM,O,11.0
Zvagulis,Kristers,MBL,Ú,84.0
Zygmunt,Pawel,LIT,Ú,12.0
Zábranský,Libor,KOM,O,80.0
Zámorský,Petr,PLZ,O,20.0
Závora,Jan,MBL,Ú,49.0
Čacho,Viliam,OLO,Ú,84.0
Čajan,Pavel,LIT,,30.0
Čajkovič,Maxim,LIT,Ú,8.0
Čech,Aleš,MBL,O,5.0
Čelko,Denis,TRI,,1.0
Čerešňák,Peter,PCE,O,41.0
Čermák,Tomáš,MBL,O,
Černoch,Jiří,KVA,Ú,21.0
Černý,Tomáš,OLO,O,48.0
Červenka,Roman,PCE,Ú,19.0
Čihař,Vojtěch,KVA,Ú,92.0
Číp,Radek,KVA,Ú,7.0
Ďaloga,Marek,KOM,O,8.0
Řehák,František,VIT,Ú,16.0
Řepík,Michal,SPA,Ú,26.0
Řezníček,Dalibor,OLO,O,14.0
Šalda,Radim,PLZ,O,41.0
Šedivý,Jakub,LIB,O,22.0
Šenkeřík,Petr,LIT,O,43.0
Šenkeřík,Petr,MHK,,44.0
Šiler,Jakub,PLZ,Ú,34.0
Šilhan,David,KVA,Ú,88.0
Šimek,Pavel,MHK,Ú,82.0
Šimek,Radim,LIB,O,44.0
Škorvánek,Stanislav,MHK,,31.0
Škůrek,David,OLO,O,3.0
Špaček,Michael,SPA,Ú,34.0
Špilka,Vasyl,LIB,Ú,
Šprynar,Jan,LIT,Ú,28.0
Štencel,Jan,CEB,O,77.0
Štohanzl,Martin,MHK,Ú,16.0
Švec,Martin,PCE,O,
Šátek,Ondřej,KLA,O,
Šír,Jan,KVA,,89.0
Šír,Jan,VIT,Ú,89.0
Ščotka,Jan,KOM,O,23.0
Šťastný,David,KVA,Ú,92.0
Žajdlík,Matěj,CEB,,35.0
Žovinec,Dušan,KLA,O,51.0
