ALIAS,URL
CEB_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=1721
LIB_po,http://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=18
PCE_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=12
KVA_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=5
KOM_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=22
TRI_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=11
OLO_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=24
SPA_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=8
PLZ_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=917
VIT_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=7
MHK_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=1711
KLA_po,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7537&roster-filter-team=828
CEB,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=1721
MBL,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=89
LIB,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=18
PCE,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=12
KVA,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=5
KOM,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=22
TRI,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=11
OLO,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=24
SPA,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=8
PLZ,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=917
LIT,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=823
VIT,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=7
MHK,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=1711
KLA,https://www.hokej.cz/tipsport-extraliga/roster?t=440%27a%3D0&roster-filter-season=2025&roster-filter-competition=7397&roster-filter-team=828